   1.6000000000000000E-002  -3.5798358845058522E-004   7.8818563671022940E-002  -3.2648569046614710E-005  -1.6324284523307347E-004
   1.6199999999999999E-002  -3.6425630390741321E-004   7.5863904833512422E-002  -3.3554010664854224E-005  -1.6777005332427124E-004
   1.6400000000000001E-002  -3.6670132003274302E-004   7.2573908291172468E-002  -3.4476790759756198E-005  -1.7238395379878111E-004
   1.6600000000000000E-002  -3.6527737689514693E-004   6.8998149267978010E-002  -3.5415762931607557E-005  -1.7707881465803770E-004
   1.6800000000000002E-002  -3.6003271868927713E-004   6.5192829458383075E-002  -3.6369679285794318E-005  -1.8184839642897176E-004
   1.7000000000000001E-002  -3.5110848016099244E-004   6.1220168980419994E-002  -3.7337210459701985E-005  -1.8668605229851012E-004
   1.7200000000000000E-002  -3.3873808870295275E-004   5.7147299551731409E-002  -3.8316966859406987E-005  -1.9158483429703498E-004
   1.7400000000000002E-002  -3.2324133427155547E-004   5.3044608962089929E-002  -3.9307520779569108E-005  -1.9653760389784559E-004
   1.7600000000000001E-002  -3.0501210774574832E-004   4.8983581714671078E-002  -4.0307429109341151E-005  -2.0153714554670580E-004
   1.7800000000000000E-002  -2.8449954053060624E-004   4.5034294780314815E-002  -4.1315256355605573E-005  -2.0657628177802789E-004
   1.8000000000000002E-002  -2.6218332485011754E-004   4.1262829299562875E-002  -4.2329597732137292E-005  -2.1164798866068647E-004
   1.8200000000000001E-002  -2.3854517430568959E-004   3.7728918222005317E-002  -4.3349102060842214E-005  -2.1674551030421104E-004
   1.8400000000000000E-002  -2.1403945409460820E-004   3.4484149739834345E-002  -4.4372494204847742E-005  -2.2186247102423857E-004
   1.8600000000000002E-002  -1.8906673522491117E-004   3.1570988698104437E-002  -4.5398596704559165E-005  -2.2699298352279592E-004
   1.8800000000000001E-002  -1.6395423596727085E-004   2.9022775686807927E-002  -4.6426350224240029E-005  -2.3213175112120029E-004
   1.9000000000000000E-002  -1.3894671036555813E-004   2.6864728018206913E-002  -4.7454832350248394E-005  -2.3727416175124209E-004
   1.9200000000000002E-002  -1.1421029072264914E-004   2.5115804657842647E-002  -4.8483274227867346E-005  -2.4241637113933676E-004
   1.9400000000000001E-002  -8.9850112032117580E-005   2.3791118680860705E-002  -4.9511074498354392E-005  -2.4755537249177202E-004
   1.9599999999999999E-002  -6.5940371426354621E-005   2.2904414986724159E-002  -5.0537810017512315E-005  -2.5268905008756155E-004
   1.9800000000000002E-002  -4.2563102582257344E-005   2.2470029002913349E-002  -5.1563242914121002E-005  -2.5781621457060495E-004
   2.0000000000000000E-002  -1.9849844052726850E-005   2.2503759692137637E-002  -5.2587323685284749E-005  -2.6293661842642364E-004
   2.0200000000000003E-002   1.9809031942206355E-006   2.3022257885405958E-002  -5.3610190218445816E-005  -2.6805095109222921E-004
   2.0400000000000001E-002   2.2597554597499432E-005   2.4040831932531599E-002  -5.4632162855331923E-005  -2.7316081427665955E-004
   2.0600000000000000E-002   4.1546363707734061E-005   2.5569941549416050E-002  -5.5653735839261015E-005  -2.7826867919630513E-004
   2.0800000000000003E-002   5.8262414020518748E-005   2.7610992496350652E-002  -5.6675565677217797E-005  -2.8337782838608880E-004
   2.1000000000000001E-002   7.2100283873560012E-005   3.0152263403231568E-002  -5.7698457069099266E-005  -2.8849228534549653E-004
   2.1200000000000000E-002   8.2380548763210702E-005   3.3165824495330447E-002  -5.8723347088102474E-005  -2.9361673544051243E-004
   2.1400000000000002E-002   8.8445590298913846E-005   3.6606130902529226E-002  -5.9751288236108366E-005  -2.9875644118054203E-004
   2.1600000000000001E-002   8.9716804589269118E-005   4.0410635576468269E-002  -6.0783430863112248E-005  -3.0391715431556121E-004
   2.1800000000000000E-002   8.5745476200103208E-005   4.4502360445382957E-002  -6.1821005262446040E-005  -3.0910502631223023E-004
   2.2000000000000002E-002   7.6251145277827283E-005   4.8793995968471122E-002  -6.2865303573042438E-005  -3.1432651786521227E-004
   2.2200000000000001E-002   6.1143775183869942E-005   5.3192853718608754E-002  -6.3917661473151174E-005  -3.1958830736575588E-004
   2.2400000000000000E-002   4.0528819382218287E-005   5.7605914241860311E-002  -6.4979439563134307E-005  -3.2489719781567149E-004
   2.2600000000000002E-002   1.4696821002322090E-005   6.1944286861824974E-002  -6.6052004319691046E-005  -3.3026002159845531E-004
   2.2800000000000001E-002  -1.5898957731417667E-005   6.6126590061866872E-002  -6.7136708556233898E-005  -3.3568354278116943E-004
   2.3000000000000000E-002  -5.0672401595041962E-005   7.0081015531989393E-002  -6.8234871427806228E-005  -3.4117435713903088E-004
   2.3200000000000002E-002  -8.8937358077255461E-005   7.3746098131118529E-002  -6.9347758149892067E-005  -3.4673879074946057E-004
   2.3400000000000001E-002  -1.2993954298129646E-004   7.7070426605780895E-002  -7.0476559732606463E-005  -3.5238279866303289E-004
   2.3599999999999999E-002  -1.7288484844488457E-004   8.0011659317412567E-002  -7.1622373142014601E-005  -3.5811186571007322E-004
   2.3800000000000002E-002  -2.1696269648334315E-004   8.2535240808372504E-002  -7.2786182372694587E-005  -3.6393091186347339E-004
   2.4000000000000000E-002  -2.6136426672330868E-004   8.4613159259720461E-002  -7.3968840943064351E-005  -3.6984420471532160E-004
   2.4200000000000003E-002  -3.0529626259739911E-004   8.6222973221680321E-002  -7.5171056308988670E-005  -3.7585528154494331E-004
   2.4400000000000002E-002  -3.4799129968819784E-004   8.7347209437917739E-002  -7.6393376639696928E-005  -3.8196688319848453E-004
   2.4600000000000000E-002  -3.8871606600118634E-004   8.7973128269136933E-002  -7.7636180323998816E-005  -3.8818090161999423E-004
   2.4800000000000003E-002  -4.2677825531165322E-004   8.8092789395858448E-002  -7.8899668485011830E-005  -3.9449834242505924E-004
   2.5000000000000001E-002  -4.6153305588385020E-004   8.7703329531010815E-002  -8.0183860686703021E-005  -4.0091930343351509E-004
   2.5200000000000000E-002  -4.9238978435896664E-004   8.6807373377643007E-002  -8.1488593921169288E-005  -4.0744296960584613E-004
   2.5400000000000002E-002  -5.1881911800607150E-004   8.5413521639334480E-002  -8.2813524874998236E-005  -4.1406762437499111E-004
   2.5600000000000001E-002  -5.4036127334263666E-004   8.3536880618042805E-002  -8.4158135388128432E-005  -4.2079067694064258E-004
   2.5800000000000000E-002  -5.5663535442703220E-004   8.1199607571963331E-002  -8.5521740940858212E-005  -4.2760870470429140E-004
   2.6000000000000002E-002  -5.6734989743915671E-004   7.8431440536960870E-002  -8.6903501935880898E-005  -4.3451750967940435E-004
   2.6200000000000001E-002  -5.7231433126585859E-004   7.5270160543785908E-002  -8.8302437484913214E-005  -4.4151218742456640E-004
   2.6400000000000000E-002  -5.7145064430228637E-004   7.1761901707731557E-002  -8.9717441366660906E-005  -4.4858720683330468E-004
   2.6600000000000002E-002  -5.6480402436348207E-004   6.7961189509448405E-002  -9.1147299797679940E-005  -4.5573649898839963E-004
   2.6800000000000001E-002  -5.5255070963662351E-004   6.3930564785766072E-002  -9.2590710652572955E-005  -4.6295355326286461E-004
   2.7000000000000000E-002  -5.3500090711472523E-004   5.9739658339938551E-002  -9.4046303785390331E-005  -4.7023151892695196E-004
   2.7200000000000002E-002  -5.1259459084846499E-004   5.5463631222078175E-002  -9.5512662137433387E-005  -4.7756331068716699E-004
   2.7400000000000001E-002  -4.8588844463868950E-004   5.1180987012329364E-002  -9.6988343361399101E-005  -4.8494171680699540E-004
